# Driver and Effector control imaging for cGAL,,,
#Values have background subtracted already,,,
K1N,ISHW351-2,syIs300,ISHW334-3
7.456979988,10327.95661,17.08425732,9182.116084
4.951349606,12989.33811,10.38211888,10618.01437
4.702167004,14797.69206,15.11889957,8043.155039
4.376588917,8648.279922,11.01061106,7296.28666
3.064479167,11488.38515,9.675049633,5535.547171
2.439061594,6843.928399,12.21682776,9785.829244
3.800376221,5216.978905,8.372077704,7462.615334
3.164025032,11587.2613,11.66247878,8256.087676
6.826560821,9301.154054,8.792636861,5717.529018
4.925022554,11886.78802,10.51244194,6982.411646
4.408404986,12056.11424,14.17198816,8987.575247
3.996161524,9278.152437,7.936199407,8489.429845
3.878063198,12182.04186,8.890188153,7631.14105
3.383794497,10436.90513,10.44478829,5467.586992
4.157206809,11793.69991,15.12969029,6114.115218
2.740620208,14288.20021,11.34927049,7539.490407
3.120045121,11839.62601,12.13595748,9634.12669
5.556525727,11772.49407,9.199597956,5852.577835
3.316272222,13129.52895,8.272086052,7276.087616
4.614672899,11540.21991,10.27950289,6861.806233
,8249.946051,10.00946217,3391.708071
,13026.91727,11.93948505,5865.740789
,12710.79094,9.378057548,6993.305425
,13481.6275,15.48279978,8245.492461
,13098.44909,,5074.535071
,12100.08618,,
